"Date","Price","Open","High","Low","Change %"
"Mar 22, 2021","1.1931","1.1899","1.1947","1.1871","0.24%"
"Mar 19, 2021","1.1903","1.1915","1.1939","1.1874","-0.10%"
"Mar 18, 2021","1.1915","1.1979","1.1990","1.1906","-0.53%"
"Mar 17, 2021","1.1978","1.1906","1.1986","1.1885","0.66%"
"Mar 16, 2021","1.1900","1.1929","1.1953","1.1882","-0.23%"
"Mar 15, 2021","1.1928","1.1952","1.1968","1.1911","-0.20%"
"Mar 12, 2021","1.1952","1.1983","1.1990","1.1910","-0.27%"
"Mar 11, 2021","1.1984","1.1928","1.1990","1.1916","0.49%"
"Mar 10, 2021","1.1925","1.1900","1.1931","1.1868","0.23%"
"Mar 09, 2021","1.1898","1.1847","1.1917","1.1835","0.46%"
"Mar 08, 2021","1.1843","1.1922","1.1933","1.1844","-0.62%"
"Mar 05, 2021","1.1917","1.1968","1.1978","1.1894","-0.41%"
"Mar 04, 2021","1.1966","1.2063","1.2068","1.1961","-0.80%"
"Mar 03, 2021","1.2062","1.2091","1.2113","1.2042","-0.22%"
"Mar 02, 2021","1.2089","1.2049","1.2095","1.1991","0.35%"
"Mar 01, 2021","1.2047","1.2079","1.2102","1.2027","-0.22%"
"Feb 26, 2021","1.2074","1.2176","1.2185","1.2062","-0.84%"
"Feb 25, 2021","1.2176","1.2163","1.2243","1.2155","0.10%"
"Feb 24, 2021","1.2164","1.2150","1.2176","1.2109","0.12%"
"Feb 23, 2021","1.2149","1.2155","1.2181","1.2135","-0.04%"
"Feb 22, 2021","1.2154","1.2117","1.2170","1.2091","0.31%"
"Feb 19, 2021","1.2117","1.2091","1.2145","1.2082","0.24%"
"Feb 18, 2021","1.2088","1.2037","1.2096","1.2035","0.43%"
"Feb 17, 2021","1.2036","1.2107","1.2111","1.2023","-0.56%"
"Feb 16, 2021","1.2104","1.2130","1.2170","1.2095","-0.19%"
"Feb 15, 2021","1.2127","1.2123","1.2146","1.2116","0.07%"
"Feb 12, 2021","1.2118","1.2130","1.2135","1.2081","-0.08%"
"Feb 11, 2021","1.2128","1.2118","1.2150","1.2112","0.10%"
"Feb 10, 2021","1.2116","1.2119","1.2145","1.2108","-0.01%"
"Feb 09, 2021","1.2117","1.2048","1.2122","1.2045","0.57%"
"Feb 08, 2021","1.2048","1.2042","1.2067","1.2019","0.05%"
"Feb 05, 2021","1.2042","1.1964","1.2050","1.1952","0.67%"
"Feb 04, 2021","1.1962","1.2033","1.2043","1.1957","-0.60%"
"Feb 03, 2021","1.2034","1.2044","1.2050","1.2003","-0.07%"
"Feb 02, 2021","1.2042","1.2059","1.2089","1.2011","-0.14%"
"Feb 01, 2021","1.2059","1.2140","1.2146","1.2054","-0.63%"
"Jan 29, 2021","1.2136","1.2121","1.2156","1.2093","0.12%"
"Jan 28, 2021","1.2121","1.2109","1.2142","1.2079","0.11%"
"Jan 27, 2021","1.2108","1.2160","1.2170","1.2057","-0.43%"
"Jan 26, 2021","1.2160","1.2138","1.2177","1.2107","0.19%"
"Jan 25, 2021","1.2137","1.2168","1.2184","1.2115","-0.25%"
"Jan 22, 2021","1.2167","1.2164","1.2191","1.2151","0.04%"
"Jan 21, 2021","1.2162","1.2106","1.2175","1.2103","0.48%"
"Jan 20, 2021","1.2104","1.2127","1.2158","1.2076","-0.20%"
"Jan 19, 2021","1.2128","1.2078","1.2146","1.2074","0.43%"
"Jan 18, 2021","1.2076","1.2085","1.2091","1.2054","-0.02%"
"Jan 15, 2021","1.2078","1.2155","1.2163","1.2074","-0.64%"
"Jan 14, 2021","1.2156","1.2157","1.2179","1.2111","-0.01%"
"Jan 13, 2021","1.2157","1.2208","1.2224","1.2140","-0.41%"
"Jan 12, 2021","1.2207","1.2152","1.2211","1.2136","0.48%"
"Jan 11, 2021","1.2149","1.2217","1.2227","1.2132","-0.56%"
"Jan 08, 2021","1.2218","1.2273","1.2284","1.2191","-0.42%"
"Jan 07, 2021","1.2270","1.2327","1.2346","1.2244","-0.45%"
"Jan 06, 2021","1.2325","1.2296","1.2350","1.2265","0.25%"
"Jan 05, 2021","1.2294","1.2247","1.2307","1.2246","0.38%"
"Jan 04, 2021","1.2248","1.2231","1.2310","1.2223","0.29%"
"Jan 01, 2021","1.2212","1.2216","1.2217","1.2210","-0.01%"
"Dec 31, 2020","1.2213","1.2298","1.2310","1.2209","-0.67%"
"Dec 30, 2020","1.2295","1.2248","1.2311","1.2246","0.39%"
"Dec 29, 2020","1.2247","1.2217","1.2276","1.2207","0.27%"
"Dec 28, 2020","1.2214","1.2202","1.2251","1.2181","0.08%"
"Dec 25, 2020","1.2204","1.2186","1.2212","1.2165","0.15%"
"Dec 24, 2020","1.2186","1.2188","1.2217","1.2177","0.01%"
"Dec 23, 2020","1.2185","1.2163","1.2221","1.2154","0.20%"
"Dec 22, 2020","1.2161","1.2244","1.2257","1.2151","-0.66%"
"Dec 21, 2020","1.2242","1.2242","1.2254","1.2129","-0.11%"
"Dec 18, 2020","1.2255","1.2268","1.2273","1.2225","-0.09%"
"Dec 17, 2020","1.2266","1.2199","1.2274","1.2191","0.57%"
"Dec 16, 2020","1.2197","1.2152","1.2213","1.2125","0.38%"
"Dec 15, 2020","1.2151","1.2143","1.2170","1.2121","0.07%"
"Dec 14, 2020","1.2143","1.2131","1.2177","1.2115","0.26%"
"Dec 11, 2020","1.2111","1.2137","1.2163","1.2105","-0.21%"
"Dec 10, 2020","1.2136","1.2083","1.2160","1.2075","0.46%"
"Dec 09, 2020","1.2081","1.2103","1.2148","1.2059","-0.17%"
"Dec 08, 2020","1.2101","1.2109","1.2134","1.2095","-0.06%"
"Dec 07, 2020","1.2108","1.2128","1.2167","1.2078","-0.10%"
"Dec 04, 2020","1.2120","1.2142","1.2178","1.2110","-0.16%"
"Dec 03, 2020","1.2140","1.2115","1.2177","1.2100","0.21%"
"Dec 02, 2020","1.2115","1.2070","1.2119","1.2040","0.37%"
"Dec 01, 2020","1.2070","1.1928","1.2077","1.1926","1.19%"
"Nov 30, 2020","1.1928","1.1957","1.2004","1.1924","-0.28%"
"Nov 27, 2020","1.1962","1.1914","1.1965","1.1907","0.41%"
"Nov 26, 2020","1.1913","1.1916","1.1941","1.1884","0.00%"
"Nov 25, 2020","1.1913","1.1891","1.1931","1.1882","0.21%"
"Nov 24, 2020","1.1888","1.1842","1.1897","1.1837","0.41%"
"Nov 23, 2020","1.1840","1.1853","1.1906","1.1800","-0.11%"
"Nov 20, 2020","1.1853","1.1875","1.1891","1.1849","-0.17%"
"Nov 19, 2020","1.1873","1.1853","1.1883","1.1816","0.18%"
"Nov 18, 2020","1.1852","1.1863","1.1892","1.1848","-0.08%"
"Nov 17, 2020","1.1861","1.1852","1.1895","1.1842","0.07%"
"Nov 16, 2020","1.1853","1.1829","1.1869","1.1813","0.18%"
"Nov 13, 2020","1.1832","1.1805","1.1838","1.1798","0.24%"
"Nov 12, 2020","1.1804","1.1777","1.1824","1.1758","0.23%"
"Nov 11, 2020","1.1777","1.1810","1.1834","1.1745","-0.31%"
"Nov 10, 2020","1.1814","1.1812","1.1844","1.1780","0.01%"
"Nov 09, 2020","1.1813","1.1882","1.1920","1.1795","-0.50%"
"Nov 06, 2020","1.1872","1.1826","1.1891","1.1795","0.43%"
"Nov 05, 2020","1.1821","1.1725","1.1861","1.1710","0.84%"
"Nov 04, 2020","1.1722","1.1715","1.1770","1.1603","0.09%"
"Nov 03, 2020","1.1711","1.1640","1.1740","1.1633","0.61%"
"Nov 02, 2020","1.1640","1.1658","1.1658","1.1622","-0.06%"
"Oct 30, 2020","1.1647","1.1674","1.1705","1.1639","-0.23%"
"Oct 29, 2020","1.1674","1.1746","1.1760","1.1650","-0.60%"
"Oct 28, 2020","1.1744","1.1796","1.1798","1.1717","-0.43%"
"Oct 27, 2020","1.1795","1.1810","1.1839","1.1793","-0.11%"
"Oct 26, 2020","1.1808","1.1858","1.1861","1.1803","-0.43%"
"Oct 23, 2020","1.1859","1.1819","1.1866","1.1787","0.36%"
"Oct 22, 2020","1.1816","1.1862","1.1868","1.1811","-0.38%"
"Oct 21, 2020","1.1861","1.1822","1.1882","1.1821","0.34%"
"Oct 20, 2020","1.1821","1.1769","1.1841","1.1760","0.47%"
"Oct 19, 2020","1.1766","1.1722","1.1795","1.1703","0.41%"
"Oct 16, 2020","1.1718","1.1708","1.1746","1.1694","0.10%"
"Oct 15, 2020","1.1706","1.1747","1.1760","1.1688","-0.34%"
"Oct 14, 2020","1.1746","1.1746","1.1772","1.1719","0.02%"
"Oct 13, 2020","1.1744","1.1813","1.1817","1.1731","-0.58%"
"Oct 12, 2020","1.1813","1.1819","1.1827","1.1786","-0.09%"
"Oct 09, 2020","1.1824","1.1759","1.1832","1.1753","0.56%"
"Oct 08, 2020","1.1758","1.1762","1.1782","1.1732","-0.02%"
"Oct 07, 2020","1.1760","1.1735","1.1783","1.1724","0.22%"
"Oct 06, 2020","1.1734","1.1782","1.1809","1.1731","-0.40%"
"Oct 05, 2020","1.1781","1.1716","1.1798","1.1707","0.58%"
"Oct 02, 2020","1.1713","1.1748","1.1751","1.1695","-0.29%"
"Oct 01, 2020","1.1747","1.1719","1.1770","1.1717","0.25%"
"Sep 30, 2020","1.1718","1.1743","1.1756","1.1684","-0.20%"
"Sep 29, 2020","1.1742","1.1666","1.1746","1.1660","0.67%"
"Sep 28, 2020","1.1664","1.1638","1.1679","1.1615","0.29%"
"Sep 25, 2020","1.1630","1.1671","1.1686","1.1612","-0.36%"
"Sep 24, 2020","1.1672","1.1660","1.1688","1.1626","0.11%"
"Sep 23, 2020","1.1659","1.1708","1.1719","1.1651","-0.40%"
"Sep 22, 2020","1.1706","1.1770","1.1774","1.1691","-0.54%"
"Sep 21, 2020","1.1769","1.1848","1.1873","1.1731","-0.57%"
